Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,39.0,124.0,-1.656862745098039,2.3970588235294117,0.02105841420985168
EMG1_mean,14.0,111.0,-3.044117647058824,1.303921568627451,0.013659006909850554
EMG2_mean,10.0,131.0,-1.9411764705882355,3.563725490196078,0.0032270556344391396
EMG3_mean,44.0,125.0,-0.9607843137254902,0.3137254901960785,0.024006145573266757
EMG4_mean,1.0,128.0,-4.21078431372549,3.0245098039215685,0.0012303149606299212
EMG5_mean,5.0,109.0,-2.17156862745098,-0.24509803921568626,0.01012373453318335
EMG6_mean,51.0,131.0,-0.9411764705882352,1.5441176470588234,0.024788568095654714
EMG7_mean,52.0,125.0,-0.9852941176470589,1.5686274509803921,0.030857629282826135
Accl0_mean,1.0,45.0,-0.9029947745098038,-0.8074448235294117,0.07611548556430446
Accl1_mean,1.0,38.0,0.3137493676470588,0.4339407647058824,0.09738914214670534
Accl2_mean,1.0,41.0,0.2642966029411766,0.3670343088235295,0.087382369886691
Gyr0_mean,4.0,69.0,-5.464460784313726,-1.6623774509803924,0.03937007874015748
Gyr1_mean,66.0,122.0,3.1976102941176467,8.88388480392157,0.05180273518441774
Gyr2_mean,8.0,86.0,-13.843747549019607,-5.024816176470589,0.026412837635801854
Orien0_mean,29.0,111.0,110.41176470588236,117.91176470588235,0.02324257660563514
Orien1_mean,102.0,129.0,144.54411764705884,151.22549019607845,0.14623172103487064
Orien2_mean,15.0,80.0,48.81372549019607,66.31372549019608,0.03937007874015748
EMG0_min,2.0,43.0,-104.75,-48.75,0.0843644544431946
EMG1_min,22.0,112.0,-70.0,-24.0,0.01773816734446656
EMG2_min,8.0,48.0,-43.25,-23.0,0.087382369886691
EMG3_min,35.0,118.0,-14.0,-7.0,0.02249718785151856
EMG4_min,0.0,60.0,-85.5,-20.0,0.04582419000903576
EMG5_min,13.0,98.0,-26.75,-8.0,0.02105841420985168
EMG6_min,8.0,46.0,-30.0,-16.0,0.09388249545729861
EMG7_min,12.0,76.0,-52.75,-19.0,0.040581465778316166
Accl0_min,17.0,31.0,-0.9707034999999999,-0.93884275,0.30708661417322836
Accl1_min,6.0,55.0,0.20202599999999998,0.34094225,0.06456692913385827
Accl2_min,12.0,49.0,0.18579125000000002,0.289795,0.09738914214670534
Gyr0_min,30.0,96.0,-38.828125,-18.453125,0.03819485250910799
Gyr1_min,27.0,92.0,-19.171875,-6.3125,0.03937007874015748
Gyr2_min,42.0,104.0,-81.03125,-31.5625,0.04311961004874391
Orien0_min,10.0,107.0,106.75,116.0,0.013659006909850554
Orien1_min,22.0,121.0,110.0,134.0,0.01259842519685039
Orien2_min,15.0,76.0,46.0,63.25,0.0444500889001778
EMG0_max,60.0,127.0,32.0,81.5,0.03705419175544233
EMG1_max,50.0,90.0,33.75,51.0,0.087382369886691
EMG2_max,67.0,130.0,22.0,60.25,0.041830708661417325
EMG3_max,46.0,115.0,9.0,16.0,0.03487064116985377
EMG4_max,48.0,124.0,9.75,63.25,0.028121484814398197
EMG5_max,48.0,100.0,9.0,19.0,0.05868370227306492
EMG6_max,104.0,130.0,16.75,56.5,0.15310586176727908
EMG7_max,56.0,112.0,17.0,40.5,0.05180273518441774
Accl0_max,5.0,100.0,-0.71838375,-0.37963875,0.014763779527559055
Accl1_max,18.0,101.0,0.608154,0.8533932500000001,0.02249718785151856
Accl2_max,4.0,64.0,0.4184575,0.5598142500000001,0.04582419000903576
Gyr0_max,29.0,94.0,5.40625,13.21875,0.03937007874015748
Gyr1_max,40.0,100.0,33.375,60.671875,0.04582419000903576
Gyr2_max,9.0,92.0,2.796875,14.0625,0.02249718785151856
Orien0_max,34.0,101.0,115.0,119.0,0.03705419175544233
Orien1_max,118.0,129.0,155.0,158.0,0.3937007874015748
Orien2_max,14.0,83.0,51.0,69.0,0.03487064116985377
EMG0_stdev,77.0,110.0,14.575634989694002,20.483278060625363,0.11347846225104213
EMG1_stdev,48.0,95.0,13.505518148381558,19.25665271044344,0.0688976377952756
EMG2_stdev,103.0,130.0,10.301955625399223,17.417125530130896,0.14623172103487064
EMG3_stdev,23.0,108.0,3.0136108736806997,5.3085103849683435,0.02105841420985168
EMG4_stdev,73.0,127.0,6.517109423920772,18.637248050718703,0.05511811023622047
EMG5_stdev,52.0,93.0,3.6633219491869538,6.050424560276542,0.0843644544431946
EMG6_stdev,105.0,129.0,7.321252685085648,12.508941561408689,0.168503937007874
EMG7_stdev,69.0,107.0,7.525971045210535,12.28602592832575,0.09388249545729861
Accl0_stdev,35.0,127.0,0.06119715971829018,0.2255776582491935,0.01651003302006604
Accl1_stdev,57.0,130.0,0.08955003677343053,0.2244585714014887,0.030857629282826135
Accl2_stdev,45.0,127.0,0.04166172935262415,0.10409611358270034,0.02324257660563514
Gyr0_stdev,34.0,101.0,4.7314798892105525,9.758662109511912,0.03705419175544233
Gyr1_stdev,58.0,104.0,11.504131095338838,17.78496710763877,0.07120120623219969
Gyr2_stdev,24.0,101.0,8.76572052340546,25.983807467238158,0.027256208358570563
Orien0_stdev,45.0,124.0,0.7918694115606381,3.529870340379991,0.025590551181102362
Orien1_stdev,50.0,129.0,5.644018667979016,18.04341930160734,0.025590551181102362
Orien2_stdev,89.0,116.0,1.596119038854881,2.2671641098085287,0.14623172103487064
EMG0_energy,77.0,109.0,10672.75,21071.5,0.11811023622047244
EMG1_energy,47.0,94.0,9142.5,18570.5,0.0688976377952756
EMG2_energy,103.0,130.0,5474.5,15924.0,0.14623172103487064
EMG3_energy,22.0,107.0,496.0,1438.75,0.02105841420985168
EMG4_energy,76.0,128.0,2441.75,19339.25,0.05868370227306492
EMG5_energy,52.0,98.0,685.25,2067.5,0.07120120623219969
EMG6_energy,104.0,129.0,2714.0,8024.5,0.16050878255602663
EMG7_energy,68.0,107.0,2838.75,7662.5,0.09055118110236221
Accl0_energy,99.0,130.0,35.76213020957199,41.8781918435755,0.12303149606299213
Accl1_energy,3.0,40.0,6.059679261627252,10.437907432488,0.09738914214670534
Accl2_energy,1.0,45.0,3.886664383080249,7.410315842113999,0.07611548556430446
Gyr0_energy,32.0,108.0,1239.52734375,6276.1650390625,0.028121484814398197
Gyr1_energy,61.0,110.0,7791.7470703125,19685.80859375,0.06456692913385827
Gyr2_energy,26.0,106.0,5365.69140625,43542.6943359375,0.024788568095654714
Orien0_energy,29.0,111.0,621898.5,709096.0,0.02324257660563514
Orien1_energy,103.0,129.0,1079429.5,1169520.0,0.15310586176727908
Orien2_energy,15.0,80.0,121648.5,224419.0,0.03937007874015748
