Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,25.0,115.0,-1.2916666666666665,0.446078431372549,0.021098901098901095
EMG1_mean,45.0,80.0,-1.1421568627450982,-0.6274509803921569,0.12666666666666665
EMG2_mean,54.0,89.0,-1.147058823529412,-0.5784313725490197,0.12666666666666665
EMG3_mean,39.0,87.0,-0.9607843137254902,-0.5686274509803921,0.08032653061224491
EMG4_mean,18.0,124.0,-1.3725490196078431,0.23529411764705885,0.010766355140186918
EMG5_mean,69.0,126.0,-0.5882352941176471,2.950980392156863,0.06041379310344827
EMG6_mean,27.0,127.0,-2.1127450980392157,4.637254901960784,0.014257425742574256
EMG7_mean,0.0,130.0,-5.382352941176471,6.01470588235294,0.0
Accl0_mean,4.0,18.0,0.5227361617647058,0.6450314950980393,0.3712
Accl1_mean,5.0,47.0,-0.7469936470588233,-0.5512910588235294,0.09823255813953488
Accl2_mean,123.0,130.0,0.4577181764705883,0.5804084019607844,0.738
Gyr0_mean,64.0,120.0,0.012561274509803926,2.0168504901960786,0.062315789473684206
Gyr1_mean,7.0,128.0,-4.50765931372549,2.825058823529412,0.0035409836065573757
Gyr2_mean,1.0,84.0,-9.255821078431373,-0.7913602941176471,0.02685714285714286
Orien0_mean,50.0,118.0,60.01470588235294,67.06862745098039,0.0431304347826087
Orien1_mean,114.0,126.0,50.18137254901961,58.57843137254902,0.43569230769230766
Orien2_mean,21.0,32.0,37.671568627450974,39.632352941176464,0.476
EMG0_min,48.0,119.0,-19.25,-6.0,0.03933333333333333
EMG1_min,55.0,128.0,-29.25,-3.0,0.036972972972972966
EMG2_min,121.0,128.0,-6.0,-4.0,0.738
EMG3_min,49.0,127.0,-12.25,-5.0,0.03159493670886076
EMG4_min,23.0,127.0,-19.0,-6.0,0.011885714285714286
EMG5_min,95.0,128.0,-19.25,-6.75,0.13694117647058823
EMG6_min,94.0,114.0,-22.25,-15.0,0.25142857142857145
EMG7_min,10.0,31.0,-45.5,-32.75,0.23781818181818182
Accl0_min,2.0,22.0,0.2492675,0.554199,0.25142857142857145
Accl1_min,8.0,58.0,-0.876465,-0.6547850000000001,0.07529411764705883
Accl2_min,122.0,130.0,0.40148925,0.5065915,0.6506666666666666
Gyr0_min,58.0,112.0,-10.671875,-4.375,0.06632727272727273
Gyr1_min,10.0,128.0,-50.265625,-2.40625,0.004840336134453779
Gyr2_min,8.0,75.0,-58.1875,-21.390625,0.044470588235294116
Orien0_min,41.0,119.0,58.0,64.0,0.03159493670886076
Orien1_min,116.0,126.0,49.0,57.0,0.5236363636363637
Orien2_min,26.0,34.0,36.0,38.0,0.6506666666666666
EMG0_max,0.0,75.0,2.75,17.0,0.03473684210526316
EMG1_max,2.0,26.0,1.75,9.25,0.20352
EMG2_max,0.0,21.0,1.75,9.0,0.23781818181818182
EMG3_max,2.0,69.0,3.0,8.25,0.044470588235294116
EMG4_max,0.0,102.0,1.5,15.0,0.01304854368932039
EMG5_max,22.0,109.0,12.75,42.25,0.023454545454545454
EMG6_max,9.0,48.0,10.25,30.25,0.10919999999999999
EMG7_max,59.0,126.0,21.0,71.25,0.044470588235294116
Accl0_max,3.0,25.0,0.55541975,0.7385255,0.22539130434782606
Accl1_max,3.0,44.0,-0.68457025,-0.48889175,0.10171428571428573
Accl2_max,103.0,130.0,0.490723,0.7143554999999999,0.17657142857142857
Gyr0_max,62.0,105.0,8.796875,15.625,0.0949090909090909
Gyr1_max,56.0,121.0,11.671875,54.6875,0.047272727272727265
Gyr2_max,6.0,59.0,3.1875,8.75,0.06844444444444445
Orien0_max,52.0,116.0,61.0,69.0,0.048738461538461536
Orien1_max,103.0,128.0,52.0,74.25,0.19384615384615383
Orien2_max,24.0,77.0,42.0,49.25,0.06844444444444445
EMG0_stdev,3.0,79.0,2.0449836243060977,5.842100138431008,0.033662337662337664
EMG1_stdev,3.0,35.0,1.2917935778555527,4.7151841144443845,0.14254545454545453
EMG2_stdev,1.0,13.0,1.3134975631014765,2.740498080094313,0.43569230769230766
EMG3_stdev,0.0,61.0,1.8039246455209044,3.548333239308732,0.05341935483870968
EMG4_stdev,2.0,93.0,2.253533704541124,4.961221459196569,0.020347826086956518
EMG5_stdev,2.0,80.0,3.129238783683805,10.997609309727494,0.03159493670886076
EMG6_stdev,15.0,39.0,5.670282930202816,9.701350824952723,0.20352
EMG7_stdev,108.0,126.0,13.76071557015871,23.86922772156743,0.28294736842105267
Accl0_stdev,26.0,127.0,0.01401315979065407,0.115438525751608,0.013647058823529413
Accl1_stdev,59.0,124.0,0.029582315991750253,0.09562602973769624,0.047272727272727265
Accl2_stdev,32.0,118.0,0.01610320739947601,0.05003431851222075,0.024275862068965523
Gyr0_stdev,15.0,105.0,2.0200052485643374,5.289100068391487,0.021098901098901095
Gyr1_stdev,46.0,120.0,4.159752560646205,16.294625647791968,0.035840000000000004
Gyr2_stdev,51.0,123.0,5.373788876402953,17.600323878045682,0.03813698630136986
Orien0_stdev,81.0,125.0,0.7068294300163621,2.8722656649298397,0.09173333333333332
Orien1_stdev,15.0,126.0,0.5662050382103682,7.297178084432643,0.008142857142857146
Orien2_stdev,81.0,125.0,1.0741920229870279,4.0743900307854295,0.09173333333333332
EMG0_energy,4.0,77.0,271.0,1698.75,0.036972972972972966
EMG1_energy,1.0,34.0,107.0,1150.5,0.13694117647058823
EMG2_energy,0.0,13.0,108.75,399.75,0.4011428571428572
EMG3_energy,0.0,56.0,204.75,651.0,0.062315789473684206
EMG4_energy,3.0,92.0,345.0,1352.25,0.02186666666666666
EMG5_energy,2.0,81.0,495.25,6487.25,0.030599999999999995
EMG6_energy,15.0,45.0,1642.0,5708.5,0.15483870967741936
EMG7_energy,109.0,127.0,10978.25,31970.5,0.28294736842105267
Accl0_energy,4.0,18.0,13.979925105156244,21.23109000359375,0.3712
Accl1_energy,81.0,123.0,15.601105482300497,28.279737886689,0.09823255813953488
Accl2_energy,121.0,129.0,10.538646405141753,17.515332449483495,0.6506666666666666
Gyr0_energy,12.0,107.0,204.0556640625,1619.44921875,0.0175
Gyr1_energy,48.0,120.0,964.98828125,14086.94140625,0.03813698630136986
Gyr2_energy,49.0,123.0,1477.080078125,19056.60546875,0.035840000000000004
Orien0_energy,49.0,115.0,183708.75,229472.5,0.04585074626865672
Orien1_energy,113.0,125.0,128465.75,175162.5,0.43569230769230766
Orien2_energy,20.0,32.0,72462.25,80974.25,0.43569230769230766
