Features,Range_Lower,Range_Upper,Threshold_Lower,Threshold_Upper,Weight
EMG0_mean,10.0,111.0,-2.6813725490196076,0.5686274509803921,0.008714596949891065
EMG1_mean,30.0,124.0,-1.6078431372549018,1.6911764705882353,0.011695906432748539
EMG2_mean,35.0,105.0,-1.3529411764705883,-0.08823529411764706,0.02638050525374469
EMG3_mean,31.0,58.0,-1.1666666666666665,-0.8627450980392157,0.11564625850340138
EMG4_mean,18.0,92.0,-1.96078431372549,-0.1568627450980392,0.023280423280423283
EMG5_mean,8.0,79.0,-4.745098039215687,-0.08333333333333334,0.02557319223985891
EMG6_mean,11.0,87.0,-3.284313725490196,0.0,0.02185116470830756
EMG7_mean,41.0,98.0,-1.5294117647058822,0.0196078431372549,0.039408866995073885
Accl0_mean,17.0,42.0,0.3645379166666667,0.37612009313725486,0.12698412698412698
Accl1_mean,26.0,38.0,-0.7200209509803923,-0.7055375980392157,0.2857142857142857
Accl2_mean,71.0,89.0,0.6347465000000001,0.650144112745098,0.18546365914786966
Gyr0_mean,63.0,116.0,1.1191789215686274,1.7965686274509802,0.04467960023515579
Gyr1_mean,12.0,75.0,-2.334252450980392,-0.900122549019608,0.03273809523809524
Gyr2_mean,30.0,121.0,-0.5094975490196079,0.8988970588235294,0.01311249137336094
Orien0_mean,26.0,59.0,64.91666666666667,65.82843137254902,0.0896358543417367
Orien1_mean,92.0,114.0,68.18627450980394,68.75,0.147688060731539
Orien2_mean,64.0,93.0,168.6372549019608,170.99019607843135,0.10582010582010581
EMG0_min,20.0,89.0,-45.5,-15.0,0.0272108843537415
EMG1_min,31.0,112.0,-33.0,-7.0,0.01858304297328688
EMG2_min,73.0,129.0,-16.0,-5.0,0.04065719855193539
EMG3_min,59.0,83.0,-17.25,-13.0,0.13333333333333333
EMG4_min,11.0,66.0,-48.0,-23.75,0.04195011337868481
EMG5_min,2.0,72.0,-96.75,-43.75,0.02638050525374469
EMG6_min,56.0,128.0,-38.25,-11.75,0.02478799739073712
EMG7_min,60.0,116.0,-28.25,-11.0,0.04065719855193539
Accl0_min,10.0,60.0,0.22937000000000002,0.33068825,0.04917522564581388
Accl1_min,14.0,81.0,-0.83361825,-0.74707,0.028944911297852476
Accl2_min,57.0,95.0,0.58813475,0.6120602500000001,0.07407407407407408
Gyr0_min,39.0,111.0,-5.203125,-1.46875,0.02478799739073712
Gyr1_min,28.0,107.0,-27.578125,-12.125,0.01984126984126984
Gyr2_min,41.0,114.0,-16.015625,-5.40625,0.024024024024024024
Orien0_min,20.0,83.0,64.0,65.0,0.03273809523809524
Orien1_min,87.0,124.0,67.0,68.0,0.07685881370091896
Orien2_min,63.0,93.0,164.25,170.0,0.10138248847926266
EMG0_max,61.0,91.0,23.75,38.0,0.10138248847926266
EMG1_max,42.0,114.0,13.75,63.0,0.02478799739073712
EMG2_max,5.0,52.0,4.0,15.0,0.05423280423280424
EMG3_max,13.0,84.0,7.0,24.0,0.02557319223985891
EMG4_max,59.0,85.0,20.0,25.0,0.12110523221634333
EMG5_max,38.0,70.0,33.0,47.0,0.09331409331409332
EMG6_max,15.0,36.0,17.0,22.0,0.15584415584415584
EMG7_max,7.0,87.0,10.0,36.0,0.019204389574759947
Accl0_max,6.0,34.0,0.38330074999999997,0.411011,0.11056376573617951
Accl1_max,24.0,51.0,-0.6759032500000001,-0.6500247499999999,0.11564625850340138
Accl2_max,64.0,98.0,0.6660159999999999,0.7127682500000001,0.08616780045351474
Gyr0_max,37.0,101.0,10.734375,17.203125,0.031746031746031744
Gyr1_max,8.0,60.0,1.875,5.25,0.04612159329140461
Gyr2_max,20.0,97.0,6.609375,17.96875,0.021164021164021166
Orien0_max,15.0,58.0,65.0,66.0,0.06204906204906205
Orien1_max,77.0,123.0,69.0,73.0,0.056062141168524156
Orien2_max,62.0,96.0,169.0,172.0,0.08616780045351474
EMG0_stdev,60.0,88.0,8.91063660860554,13.241147273955626,0.11056376573617951
EMG1_stdev,40.0,107.0,5.1180338940671115,13.897258386304028,0.028944911297852476
EMG2_stdev,7.0,47.0,2.6718760874348155,5.258652616743374,0.0689121176926055
EMG3_stdev,25.0,69.0,4.17872801456484,7.210559171778074,0.059964726631393295
EMG4_stdev,74.0,122.0,9.462996367441855,14.878994657187508,0.05247813411078717
EMG5_stdev,46.0,121.0,15.849326221567567,27.88351558481527,0.022556390977443608
EMG6_stdev,12.0,61.0,6.441608007263083,11.408696491364118,0.050793650793650794
EMG7_stdev,16.0,59.0,4.874845073406019,9.951388156189084,0.06204906204906205
Accl0_stdev,8.0,115.0,0.009486870908401676,0.03160945733220085,0.006466784244562023
Accl1_stdev,14.0,107.0,0.013410713177868905,0.02687743835128146,0.012158054711246204
Accl2_stdev,46.0,101.0,0.010768039775507667,0.01831315668380508,0.04195011337868481
Gyr0_stdev,59.0,103.0,3.2123951585338473,4.47821939784372,0.059964726631393295
